"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"전국","10 교육","1985 년","17.446",
"전국","10 교육","1986 년","18.22",
"전국","10 교육","1987 년","19.265",
"전국","10 교육","1988 년","21.081",
"전국","10 교육","1989 년","22.991",
"전국","10 교육","1990 년","26.028",
"전국","10 교육","1991 년","28.75",
"전국","10 교육","1992 년","31.825",
"전국","10 교육","1993 년","35.123",
"전국","10 교육","1994 년","38.461",
"전국","10 교육","1995 년","43.581",
"전국","10 교육","1996 년","48.487",
"전국","10 교육","1997 년","51.973",
"전국","10 교육","1998 년","53.862",
"전국","10 교육","1999 년","54.563",
"전국","10 교육","2000 년","57.321",
"전국","10 교육","2001 년","59.928",
"전국","10 교육","2002 년","63.282",
"전국","10 교육","2003 년","67.022",
"전국","10 교육","2004 년","70.737",
"전국","10 교육","2005 년","73.717",
"전국","10 교육","2006 년","77.28",
"전국","10 교육","2007 년","81.9",
"전국","10 교육","2008 년","86.373",
"전국","10 교육","2009 년","88.535",
"전국","10 교육","2010 년","90.539",
"전국","10 교육","2011 년","92.101",
"전국","10 교육","2012 년","93.406",
"전국","10 교육","2013 년","94.504",
"전국","10 교육","2014 년","95.893",
"전국","10 교육","2015 년","97.54",
"전국","10 교육","2016 년","99.135",
"전국","10 교육","2017 년","100.272",
"전국","10 교육","2018 년","101.645",
"전국","10 교육","2019 년","102.178",
"전국","10 교육","2020 년","100",
"전국","10 교육","2021 년","100.87",
"전국","10 교육","2022 년","102.23",
"전국","10 교육","2023 년","104.23",
"전국","11 음식 및 숙박","1985 년","21.445",
"전국","11 음식 및 숙박","1986 년","22.44",
"전국","11 음식 및 숙박","1987 년","23.427",
"전국","11 음식 및 숙박","1988 년","25.615",
"전국","11 음식 및 숙박","1989 년","29.5",
"전국","11 음식 및 숙박","1990 년","33.583",
"전국","11 음식 및 숙박","1991 년","40.163",
"전국","11 음식 및 숙박","1992 년","44.229",
"전국","11 음식 및 숙박","1993 년","46.703",
"전국","11 음식 및 숙박","1994 년","49.869",
"전국","11 음식 및 숙박","1995 년","52.614",
"전국","11 음식 및 숙박","1996 년","55.56",
"전국","11 음식 및 숙박","1997 년","57.498",
"전국","11 음식 및 숙박","1998 년","60.379",
"전국","11 음식 및 숙박","1999 년","59.849",
"전국","11 음식 및 숙박","2000 년","60.375",
"전국","11 음식 및 숙박","2001 년","61.431",
"전국","11 음식 및 숙박","2002 년","63.509",
"전국","11 음식 및 숙박","2003 년","65.833",
"전국","11 음식 및 숙박","2004 년","68.309",
"전국","11 음식 및 숙박","2005 년","69.949",
"전국","11 음식 및 숙박","2006 년","71.307",
"전국","11 음식 및 숙박","2007 년","72.63",
"전국","11 음식 및 숙박","2008 년","76.11",
"전국","11 음식 및 숙박","2009 년","79.03",
"전국","11 음식 및 숙박","2010 년","80.874",
"전국","11 음식 및 숙박","2011 년","84.331",
"전국","11 음식 및 숙박","2012 년","85.342",
"전국","11 음식 및 숙박","2013 년","86.666",
"전국","11 음식 및 숙박","2014 년","87.923",
"전국","11 음식 및 숙박","2015 년","89.974",
"전국","11 음식 및 숙박","2016 년","92.232",
"전국","11 음식 및 숙박","2017 년","94.441",
"전국","11 음식 및 숙박","2018 년","97.292",
"전국","11 음식 및 숙박","2019 년","99.061",
"전국","11 음식 및 숙박","2020 년","100",
"전국","11 음식 및 숙박","2021 년","102.73",
"전국","11 음식 및 숙박","2022 년","110.53",
"전국","11 음식 및 숙박","2023 년","117.16",
"전국","12 기타 상품 및 서비스","1985 년","33.696",
"전국","12 기타 상품 및 서비스","1986 년","35.196",
"전국","12 기타 상품 및 서비스","1987 년","36.218",
"전국","12 기타 상품 및 서비스","1988 년","36.889",
"전국","12 기타 상품 및 서비스","1989 년","36.973",
"전국","12 기타 상품 및 서비스","1990 년","38.257",
"전국","12 기타 상품 및 서비스","1991 년","40.533",
"전국","12 기타 상품 및 서비스","1992 년","42.085",
"전국","12 기타 상품 및 서비스","1993 년","43.775",
"전국","12 기타 상품 및 서비스","1994 년","45.433",
"전국","12 기타 상품 및 서비스","1995 년","46.899",
"전국","12 기타 상품 및 서비스","1996 년","49.636",
"전국","12 기타 상품 및 서비스","1997 년","51.898",
"전국","12 기타 상품 및 서비스","1998 년","56.584",
"전국","12 기타 상품 및 서비스","1999 년","55.365",
"전국","12 기타 상품 및 서비스","2000 년","56.062",
